Party,Criminal Case,Total Assets,Liabilities,state,Education,SC,ST,Doctor,Advocate
CPI(M),1,8300000,0,GUJARAT,10th Pass,0,0,0,0
CPI(M),1,10000000,1400000,KERALA,Graduate Professional,0,0,0,0
Tipra Motha Party,0,2000000,0,TRIPURA,Post Graduate,0,1,0,0
BJP,0,10000000,1800000,MAHARASHTRA,12th Pass,1,0,0,0
BJP,1,110000000,10000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
INC,0,90000000,50000000,MAHARASHTRA,12th Pass,0,0,0,0
NPP,0,40000000,0,MANIPUR,Post Graduate,0,1,0,0
BJP,0,500000,40000000,MADHYA PRADESH,Post Graduate,0,0,0,0
BJP,0,0,100000000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,43,2400000,46000,MADHYA PRADESH,Post Graduate,0,0,0,0
YSRCP,4,10000000,20000000,ANDHRA PRADESH,Graduate,0,0,0,0
AAP,0,0,0,PUNJAB,10th Pass,0,0,0,0
YSRCP,0,10000000,10000000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,1,50000000,2600000,UTTAR PRADESH,Post Graduate,0,0,0,0
INC,0,60000000,3100000,MADHYA PRADESH,Post Graduate,0,0,0,0
BJP,0,20000000,10000000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,4,130000000,20000000,UTTAR PRADESH,10th Pass,0,0,1,0
INC,0,0,10000000,HARYANA,Graduate Professional,1,0,0,0
BJP,0,10000000,1200000,GUJARAT,8th Pass,0,1,0,0
BJP,0,280000000,5100000,UTTAR PRADESH,Graduate Professional,1,0,1,0
BJP,0,130000000,100000,UTTAR PRADESH,Graduate Professional,0,0,1,0
JD(U),19,10000000,100000000,BIHAR,12th Pass,0,0,0,0
YSRCP,0,140000000,10000000,ANDHRA PRADESH,Graduate,0,0,0,0
DMK,4,70000000,1700000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,9400000,0,TRIPURA,Post Graduate,0,0,0,0
INC,0,60000000,200000,HARYANA,Graduate,0,0,0,0
IND,9,10000000,1700000,WEST BENGAL,10th Pass,0,0,0,0
